,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Shitanjing,8,CN,1570171506,38,39.23,106.34,58.66,14.99
1,Sao Filipe,84,CV,1570171184,83,14.9,-24.5,78.51,1.83
2,Ushuaia,40,AR,1570171509,70,-54.81,-68.31,42.8,12.75
3,Port Elizabeth,90,US,1570170947,88,39.31,-74.98,71.6,8.05
4,Faanui,22,PF,1570171421,80,-16.48,-151.75,78.47,16.98
5,Rikitea,83,PF,1570171512,78,-23.12,-134.97,69.56,24.58
6,Yellowknife,20,CA,1570171514,93,62.45,-114.38,39.2,4.7
7,Albany,90,US,1570171223,93,42.65,-73.75,53.01,3.36
8,Busselton,87,AU,1570171516,61,-33.64,115.35,64.0,29.44
9,Port Alfred,30,ZA,1570171518,72,-33.59,26.89,66.0,3.0
10,Punta Arenas,75,CL,1570170976,70,-53.16,-70.91,42.8,17.22
11,Saskylakh,0,RU,1570171520,77,71.97,114.09,18.79,1.43
12,Fort Abbas,79,PK,1570171521,32,29.19,72.85,90.82,2.33
13,Butaritari,100,KI,1570171077,70,3.07,172.79,83.01,9.71
14,Thompson,5,CA,1570171524,80,55.74,-97.86,33.8,4.7
15,Vaini,40,IN,1570171525,69,15.34,74.49,80.6,2.24
16,Mahanoro,61,MG,1570171498,66,-19.9,48.8,79.36,2.51
17,Bredasdorp,97,ZA,1570171528,59,-34.53,20.04,63.0,3.36
18,Baruun-Urt,0,MN,1570170956,30,46.68,113.28,46.02,11.99
19,Saint-Philippe,90,CA,1570171440,100,45.36,-73.48,46.0,11.41
20,Puerto Ayora,100,EC,1570170939,97,-0.74,-90.35,64.99,3.0
21,Zhigansk,30,RU,1570171291,53,66.77,123.37,29.21,5.79
22,Vao,100,EE,1570171534,86,59.1,26.19,38.86,11.03
23,Mataura,99,NZ,1570171413,58,-46.19,168.86,57.99,15.01
24,Iralaya,22,HN,1570171537,93,15.0,-83.23,76.1,2.84
